@relation bookkeeper

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
1,1,85,38,22,24,22,22,13,13,2,45,No
1,1,108,38,4,4,4,4,13,13,4,94,No
1,1,32,59,0,1,0,0,37,37,1,21,No
1,1,201,38,4,4,4,4,13,13,16,91,No
1,1,80,38,5,5,5,5,13,13,6,68,No
1,1,57,38,5,5,5,5,13,13,6,33,No
2,1,446,59,17,18,8,17,25,37,52,286,No
1,1,35,59,0,1,0,0,37,37,2,22,No
3,1,151,59,24,31,8,23,19,37,30,214,No
2,1,249,59,41,49,20,41,21,37,30,216,No
1,1,63,59,1,1,1,1,37,37,7,35,No
1,1,130,36,1,1,1,1,37,37,18,54,No
2,1,72,59,9,9,4,5,25,37,12,74,No
3,1,715,59,44,55,14,30,17,37,121,704,No
1,1,265,37,172,172,172,172,6,6,15,113,No
1,1,261,59,1,2,1,1,37,37,25,86,No
3,1,215,57,72,101,24,46,6,8,64,244,No
1,1,241,0,241,241,241,241,27,27,24,83,No
1,1,124,49,12,12,12,12,27,27,10,46,No
1,1,139,58,5,11,5,5,3,3,18,53,Yes
1,1,272,0,272,272,272,272,8,8,21,89,No
1,1,246,0,246,246,246,246,13,13,16,84,No
3,1,208,62,3,9,1,1,5,12,51,273,No
2,1,454,26,8,20,4,5,13,21,70,214,No
2,1,357,75,0,54,12,12,2,2,66,150,No
3,2,180,42,10,26,3,9,38,79,64,162,Yes
