
Dataset,# Training,TrainingSet Size,TestSet Size,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa,Accuracy
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,IBk,Smote,False,0.9592592592592593,0.0030581039755351682,0.9969418960244648,0.040740740740740744,0.9736842105263158,0.9592592592592593,0.9983997540572465,0.9624897392799908,0.9929660023446659
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,NB,Smote,False,1.0,0.0034949759720401923,0.9965050240279598,0.0,0.9712230215827338,1.0,0.9982525120139799,0.9836513306053608,0.9968737788198515
storm,6,15354,2559,0.8571428571428571,0.053536537710042985,0.10550996483001172,Cost Sensitive,Smote,False,0.8555555555555555,0.00218435998252512,0.9978156400174749,0.14444444444444443,0.9788135593220338,0.8555555555555555,0.9266855977865153,0.9035509253786572,0.965220789370848
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,RF,No sampling,False,1.0,0.03180722891566265,0.9681927710843373,0.0,0.88,1.0,0.982235387832321,0.9200920133648369,0.9742086752637749
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,IBk,No sampling,False,0.96900826446281,0.030361445783132532,0.9696385542168675,0.030991735537190084,0.881578947368421,0.96900826446281,0.9843263964950711,0.9042661566028831,0.9695193434935522
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,NB,No sampling,False,0.9917355371900827,0.03180722891566265,0.9681927710843373,0.008264462809917356,0.8791208791208791,0.9917355371900827,0.9838992332968236,0.9149931521866022,0.9726455646737007
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,Cost Sensitive,No sampling,False,0.9855371900826446,0.029879518072289158,0.9701204819277108,0.014462809917355372,0.8849721706864564,0.9855371900826446,0.9776794782435527,0.9157623306084381,0.7549824150058617
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,RF,Under sampling,False,1.0,0.03180722891566265,0.9681927710843373,0.0,0.88,1.0,0.9855695509309967,0.9200920133648369,0.9742086752637749
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,IBk,Under sampling,False,0.9979338842975206,0.03180722891566265,0.9681927710843373,0.002066115702479339,0.8797814207650273,0.9979338842975206,0.9840635268346112,0.9188201788339572,0.9738178976162564
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,NB,Under sampling,False,0.987603305785124,0.03180722891566265,0.9681927710843373,0.012396694214876033,0.8786764705882353,0.987603305785124,0.9838663745892662,0.9124321549765693,0.9718640093786636
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,Cost Sensitive,Under sampling,False,0.9917355371900827,0.03132530120481928,0.9686746987951808,0.008264462809917356,0.8807339449541285,0.9917355371900827,0.9842059145673604,0.9161442233304571,0.7444314185228604
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,RF,Over sampling,False,0.9979338842975206,0.03180722891566265,0.9681927710843373,0.002066115702479339,0.8797814207650273,0.9979338842975206,0.9838952504231804,0.9188201788339572,0.9738178976162564
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,IBk,Over sampling,False,0.981404958677686,0.030843373493975902,0.9691566265060241,0.01859504132231405,0.8812615955473099,0.981404958677686,0.9843741909787912,0.9108789874553039,0.971473231731145
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,NB,Over sampling,False,0.993801652892562,0.03180722891566265,0.9681927710843373,0.006198347107438017,0.8793418647166362,0.993801652892562,0.9838992332968236,0.9162707525915994,0.9730363423212193
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,Cost Sensitive,Over sampling,False,1.0,0.03180722891566265,0.9681927710843373,0.0,0.88,1.0,0.9860499850642238,0.9200920133648369,0.7420867526377491
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,RF,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,IBk,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,NB,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,7,17913,2559,0.875,0.06096131301289566,0.18913638139898398,Cost Sensitive,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,8,20472,2559,0.8888888888888888,0.07698319656115671,0.45212973817897617,RF,No sampling,False,0.9922212618841832,0.039229671897289584,0.9607703281027105,0.007778738115816767,0.9542809642560266,0.9922212618841832,0.995107618823338,0.9496924894440114,0.9749902305588121
