@relation storm

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
1,1,268,17,268,268,268,268,237,237,24,43,No
1,1,99,5,99,99,99,99,81,81,16,17,No
1,1,57,5,57,57,57,57,81,81,8,17,No
1,1,31,5,31,31,31,31,81,81,4,17,No
1,1,70,17,70,70,70,70,237,237,5,18,No
1,1,41,5,41,41,41,41,81,81,1,17,No
1,1,28,5,28,28,28,28,81,81,3,17,No
1,1,34,5,34,34,34,34,81,81,1,17,No
1,1,26,5,26,26,26,26,81,81,2,17,No
1,1,172,17,172,172,172,172,237,237,13,21,No
1,1,56,17,56,56,56,56,237,237,4,21,No
1,1,92,17,92,92,92,92,237,237,12,21,No
7,5,240,32,234,264,34,242,75,237,140,119,No
1,1,55,17,55,55,55,55,237,237,6,17,No
2,2,68,19,99,99,49,62,159,237,13,34,No
2,2,87,14,86,96,45,89,76,81,30,34,No
1,1,100,5,100,100,100,100,81,81,16,31,No
1,1,147,17,147,147,147,147,237,237,14,19,No
1,1,188,17,188,188,188,188,237,237,27,18,No
23,7,1311,83,297,1111,16,263,28,237,182,15050,No
4,4,255,71,312,366,78,87,116,237,5,327,No
1,1,36,83,1,2,1,1,221,221,2,17,Yes
1,1,32,26,32,32,32,32,221,221,1,24,Yes
1,1,49,83,2,2,2,2,221,221,11,17,Yes
5,4,335,83,214,338,43,111,100,237,93,597,No
1,1,108,83,7,54,7,7,221,221,11,17,Yes
1,1,253,83,27,92,27,27,221,221,28,20,Yes
1,1,124,83,25,32,25,25,221,221,19,20,Yes
1,1,345,26,345,345,345,345,221,221,15,43,Yes
1,1,390,26,390,390,390,390,221,221,15,46,Yes
1,1,1079,83,96,104,96,96,221,221,15,76,Yes
1,1,2346,83,300,333,300,300,221,221,15,156,Yes
1,1,626,68,181,186,181,181,237,237,15,56,No
1,1,16276,83,2676,2881,2676,2676,221,221,15,949,Yes
1,1,453,83,95,97,95,95,221,221,15,59,Yes
1,1,1125,83,188,191,188,188,221,221,15,77,Yes
1,1,1102,83,188,191,188,188,221,221,15,76,Yes
1,1,49,68,10,13,10,10,237,237,1,34,No
11,8,353,49,105,393,13,89,51,237,243,518,No
1,1,112,34,24,51,24,24,237,237,13,31,No
3,3,70,49,2,10,0,2,158,237,12,84,No
1,1,136,34,-2,12,0,0,237,237,5,47,No
3,3,135,49,45,152,21,30,158,237,21,147,No
2,2,43,49,8,8,4,4,119,221,6,34,No
1,1,52,13,52,52,52,52,237,237,4,18,No
3,2,99,17,199,260,66,100,82,221,15,148,No
4,2,166,17,333,452,83,167,62,221,52,212,No
2,2,31,17,62,62,31,31,119,221,4,34,No
3,2,166,17,327,357,111,168,81,221,51,84,No
2,2,31,17,62,62,31,31,119,221,4,34,No
4,2,157,17,317,437,79,159,62,221,40,131,No
2,2,83,17,166,166,83,83,119,221,14,66,No
4,2,156,17,313,433,78,159,62,221,40,147,No
5,2,71,17,150,190,30,74,50,221,31,155,No
7,6,251,49,124,271,21,67,75,237,157,289,No
1,1,41,11,41,41,41,41,237,237,4,18,No
4,3,52,49,14,46,3,10,120,237,15,90,No
2,2,66,49,1,19,0,1,229,237,20,34,No
3,2,58,49,14,60,5,12,82,221,13,72,No
1,1,30,7,30,30,30,30,237,237,1,17,No
1,1,31,7,31,31,31,31,237,237,2,17,No
1,1,38,7,38,38,38,38,237,237,1,23,No
1,1,31,7,31,31,31,31,237,237,1,24,No
1,1,32,7,32,32,32,32,237,237,2,17,No
1,1,80,43,80,80,80,80,237,237,1,29,No
1,1,82,44,82,82,82,82,237,237,7,56,No
6,5,197,47,196,228,32,194,53,237,92,120,No
1,1,40,44,40,40,40,40,237,237,0,21,No
5,5,174,46,254,254,50,168,74,237,10,155,No
1,1,51,44,51,51,51,51,237,237,0,29,No
1,1,448,83,13,13,13,13,221,221,7,129,Yes
1,1,219,26,219,219,219,219,221,221,11,23,Yes
1,1,125,26,125,125,125,125,221,221,9,22,Yes
1,1,346,26,346,346,346,346,221,221,15,43,Yes
1,1,98,26,98,98,98,98,221,221,10,18,Yes
2,2,343,26,343,358,171,343,111,221,28,100,No
1,1,296,26,296,296,296,296,221,221,17,79,Yes
4,3,45,19,135,142,33,47,61,221,7,136,No
6,4,270,83,267,328,45,186,43,221,106,448,No
2,2,87,26,94,95,47,87,111,221,18,68,No
1,1,43,26,43,43,43,43,221,221,2,30,Yes
1,1,55,26,55,55,55,55,221,221,2,36,Yes
3,3,41,26,43,45,14,41,79,221,6,87,No
4,3,45,21,126,150,34,54,60,221,12,121,No
1,1,50,26,50,50,50,50,221,221,3,35,Yes
1,1,41,26,41,41,41,41,221,221,2,30,Yes
1,1,59,83,5,9,5,5,221,221,10,36,Yes
1,1,45,26,45,45,45,45,221,221,2,31,Yes
1,1,116,83,8,9,8,8,221,221,9,45,Yes
2,2,172,83,5,35,5,10,111,221,50,88,No
3,3,94,16,282,282,94,94,77,221,36,105,No
2,1,91,3,92,104,46,88,5,7,21,70,No
1,1,159,83,21,48,21,21,221,221,27,39,Yes
1,1,56,26,56,56,56,56,221,221,1,20,Yes
1,1,77,26,77,77,77,77,221,221,7,17,Yes
1,1,114,83,2,72,14,14,221,221,12,23,Yes
1,1,77,26,77,77,77,77,221,221,3,20,Yes
1,1,80,83,-3,15,2,2,221,221,6,27,Yes
1,1,46,26,46,46,46,46,221,221,5,10,Yes
1,1,157,26,157,157,157,157,221,221,15,3,Yes
1,1,57,83,0,2,0,0,221,221,6,31,Yes
1,1,57,83,0,3,0,0,221,221,6,31,Yes
7,3,129,26,157,208,23,131,34,221,98,224,No
1,1,70,26,70,70,70,70,221,221,9,32,Yes
1,1,70,83,1,1,1,1,221,221,13,19,Yes
3,3,262,19,786,786,262,262,79,221,42,195,No
2,1,276,0,304,374,162,298,4,7,26,141,No
5,3,275,26,285,319,57,281,48,221,126,180,No
1,1,108,26,108,108,108,108,221,221,9,22,Yes
1,1,44,26,44,44,44,44,221,221,2,21,Yes
1,1,104,26,104,104,104,104,221,221,14,32,Yes
1,1,206,26,206,206,206,206,221,221,25,36,Yes
1,1,86,26,86,86,86,86,221,221,15,20,Yes
1,1,61,4,61,61,61,61,30,30,6,18,No
1,1,64,4,64,64,64,64,30,30,2,26,No
1,1,68,4,68,68,68,68,30,30,8,21,No
1,1,35,4,35,35,35,35,30,30,1,23,No
3,3,105,68,0,3,0,0,96,237,9,252,No
9,8,223,83,295,429,33,59,68,237,133,189,No
13,8,322,83,567,793,45,136,50,237,241,668,No
4,4,314,68,60,61,15,48,67,237,84,488,No
1,1,95,5,95,95,95,95,221,221,9,31,Yes
1,1,32,7,32,32,32,32,237,237,7,0,No
1,1,35,7,35,35,35,35,237,237,8,0,No
1,1,37,26,37,37,37,37,221,221,4,17,Yes
1,1,139,9,139,139,139,139,237,237,13,17,No
1,1,76,9,76,76,76,76,237,237,13,17,No
1,1,47,26,47,47,47,47,221,221,6,24,Yes
2,2,156,83,31,46,15,31,229,237,28,36,No
1,1,136,10,136,136,136,136,72,72,1,74,No
1,1,60,79,-111,112,0,0,72,72,2,43,No
1,1,20,7,20,20,20,20,237,237,0,0,No
1,1,65,83,2,25,5,5,221,221,10,17,Yes
9,4,216,83,28,349,7,31,63,237,149,279,No
9,4,106,83,3,221,2,6,31,221,65,189,No
1,1,249,5,249,249,249,249,237,237,4,20,No
1,1,59,83,1,8,1,1,221,221,8,17,Yes
3,3,182,68,0,125,2,7,96,237,45,105,No
3,3,498,21,1494,1494,498,498,78,221,33,441,No
1,1,74,6,74,74,74,74,42,42,4,26,No
1,1,34,26,34,34,34,34,221,221,4,17,Yes
1,1,109,68,0,12,0,0,237,237,6,19,No
1,1,113,13,113,113,113,113,237,237,5,17,No
6,5,483,83,99,295,23,84,89,237,248,171,No
1,1,53,83,0,7,0,0,221,221,3,17,Yes
1,1,84,26,84,84,84,84,221,221,6,19,Yes
1,1,377,68,0,4,0,0,237,237,39,23,No
1,1,121,83,5,11,5,5,221,221,19,18,Yes
1,1,178,68,1,1,1,1,237,237,20,18,No
1,1,124,68,0,5,0,0,237,237,4,17,No
1,1,25,20,25,25,25,25,237,237,2,17,No
1,1,176,68,25,26,25,25,237,237,12,20,No
1,1,289,68,4,4,4,4,237,237,19,29,No
1,1,47,26,47,47,47,47,221,221,6,24,Yes
2,2,153,83,33,48,16,33,229,237,28,34,No
1,1,34,79,-39,45,2,2,72,72,4,17,No
1,1,359,79,31,33,31,31,72,72,13,19,No
1,1,60,79,-1,1,0,0,72,72,5,17,No
1,1,142,68,10,12,10,10,237,237,17,20,No
1,1,82,4,82,82,82,82,30,30,4,18,No
9,4,152,23,164,257,18,152,63,237,72,198,No
1,1,101,6,101,101,101,101,42,42,4,17,No
4,2,79,53,4,8,1,1,108,266,44,96,No
1,1,134,5,134,134,134,134,266,266,10,53,No
1,1,78,5,78,78,78,78,266,266,15,23,No
1,1,76,17,3,8,3,3,32,32,13,20,Yes
1,1,77,26,0,1,0,0,5,5,9,23,Yes
1,1,83,26,0,2,0,0,5,5,12,23,Yes
1,1,243,4,243,243,243,243,32,32,23,39,Yes
1,1,64,17,2,28,8,8,32,32,10,22,Yes
2,1,171,26,2,9,1,2,18,32,42,40,Yes
1,1,131,41,0,1,0,0,5,5,19,18,Yes
1,1,149,41,0,1,0,0,5,5,17,18,Yes
1,1,56,32,-1,3,0,0,32,32,2,41,Yes
1,1,281,5,281,281,281,281,32,32,24,43,Yes
1,1,60,32,2,26,7,7,32,32,9,22,Yes
4,3,196,41,-8,16,0,0,110,266,124,96,No
4,3,193,41,0,8,0,0,110,266,100,104,No
4,3,90,41,0,4,0,0,110,266,68,76,No
