
Dataset,# Training,TrainingSet Size,TestSet Size,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa,Accuracy
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,IBk,Smote,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,6,900,150,0.8571428571428571,0.33444444444444443,0.0,NB,Smote,False,NaN,0.02,0.98,NaN,0.0,NaN,NaN,0.0,0.98
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,RF,No sampling,False,0.6666666666666666,0.24603174603174602,0.753968253968254,0.3333333333333333,0.3404255319148936,0.6666666666666666,0.7974537037037037,0.3030736240171551,0.74
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,IBk,No sampling,False,0.5,0.2619047619047619,0.7380952380952381,0.5,0.26666666666666666,0.5,0.6190476190476191,0.17582417582417567,0.7
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,NB,No sampling,False,1.0,0.9603174603174603,0.03968253968253968,0.0,0.16551724137931034,1.0,0.7496693121693122,0.013050570962479597,0.19333333333333336
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,RF,Under sampling,False,0.75,0.373015873015873,0.626984126984127,0.25,0.27692307692307694,0.75,0.77744708994709,0.22287390029325502,0.6466666666666667
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,IBk,Under sampling,False,0.75,0.35714285714285715,0.6428571428571429,0.25,0.2857142857142857,0.75,0.6964285714285714,0.23698384201077205,0.6599999999999999
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,NB,Under sampling,False,1.0,0.9603174603174603,0.03968253968253968,0.0,0.16551724137931034,1.0,0.7731481481481481,0.013050570962479597,0.19333333333333336
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,RF,Over sampling,False,0.8333333333333334,0.3412698412698413,0.6587301587301587,0.16666666666666666,0.31746031746031744,0.8333333333333334,0.7559523809523809,0.2968282465589467,0.6866666666666666
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,IBk,Over sampling,False,0.5416666666666666,0.31746031746031744,0.6825396825396826,0.4583333333333333,0.24528301886792453,0.5416666666666666,0.6155753968253969,0.15056628914057302,0.6599999999999999
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,NB,Over sampling,False,1.0,0.9603174603174603,0.03968253968253968,0.0,0.16551724137931034,1.0,0.7404100529100529,0.013050570962479597,0.19333333333333336
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,RF,Smote,False,0.5833333333333334,0.29365079365079366,0.7063492063492064,0.4166666666666667,0.27450980392156865,0.5833333333333334,0.7567791005291006,0.1990456714383094,0.6866666666666666
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,IBk,Smote,False,0.625,0.2857142857142857,0.7142857142857143,0.375,0.29411764705882354,0.625,0.6696428571428571,0.2331288343558281,0.7
bookkeeper,7,1050,150,0.875,0.2866666666666667,0.16,NB,Smote,False,1.0,0.9603174603174603,0.03968253968253968,0.0,0.16551724137931034,1.0,0.7605820105820106,0.013050570962479597,0.19333333333333336
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,RF,No sampling,False,0.47368421052631576,0.4961832061068702,0.5038167938931297,0.5263157894736842,0.12162162162162163,0.47368421052631576,0.5584572117316191,-0.010055665289998144,0.5
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,IBk,No sampling,False,0.3684210526315789,0.5190839694656488,0.48091603053435117,0.631578947368421,0.09333333333333334,0.3684210526315789,0.424668541582965,-0.06666666666666665,0.4666666666666667
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,NB,No sampling,False,0.8947368421052632,0.6946564885496184,0.3053435114503817,0.10526315789473684,0.1574074074074074,0.8947368421052632,0.7018883085576537,0.06663990365315135,0.38
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,RF,Under sampling,False,0.5789473684210527,0.5954198473282443,0.40458015267175573,0.42105263157894735,0.12359550561797752,0.5789473684210527,0.5510245078344717,-0.006397253861756816,0.42666666666666664
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,IBk,Under sampling,False,0.42105263157894735,0.5801526717557252,0.4198473282442748,0.5789473684210527,0.09523809523809523,0.42105263157894735,0.4204499799116111,-0.06461086637298093,0.42000000000000004
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,NB,Under sampling,False,0.8947368421052632,0.648854961832061,0.3511450381679389,0.10526315789473684,0.16666666666666666,0.8947368421052632,0.6926476496584973,0.08575031525851197,0.42000000000000004
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,RF,Over sampling,False,0.47368421052631576,0.5419847328244275,0.4580152671755725,0.5263157894736842,0.1125,0.47368421052631576,0.4939734833266372,-0.028789161727349633,0.45999999999999996
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,IBk,Over sampling,False,0.3684210526315789,0.5572519083969466,0.44274809160305345,0.631578947368421,0.0875,0.3684210526315789,0.3764564081960627,-0.07959356477561381,0.43333333333333335
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,NB,Over sampling,False,0.8947368421052632,0.648854961832061,0.3511450381679389,0.10526315789473684,0.16666666666666666,0.8947368421052632,0.6926476496584973,0.08575031525851197,0.42000000000000004
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,RF,Smote,False,0.47368421052631576,0.5267175572519084,0.4732824427480916,0.5263157894736842,0.11538461538461539,0.47368421052631576,0.5373644033748494,-0.02278612118073534,0.4733333333333334
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,IBk,Smote,False,0.5263157894736842,0.549618320610687,0.45038167938931295,0.47368421052631576,0.12195121951219512,0.5263157894736842,0.4883487344314986,-0.009639355160378869,0.45999999999999996
bookkeeper,8,1200,150,0.8888888888888888,0.2708333333333333,0.12666666666666668,NB,Smote,False,0.8947368421052632,0.7022900763358778,0.29770992366412213,0.10526315789473684,0.1559633027522936,0.8947368421052632,0.6910405785456006,0.06362066675521316,0.3733333333333333
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,RF,No sampling,False,0.10091743119266056,0.17073170731707318,0.8292682926829268,0.8990825688073395,0.6111111111111112,0.10091743119266056,0.5218169612888789,-0.041253470844902815,0.30000000000000004
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,IBk,No sampling,False,0.1651376146788991,0.14634146341463414,0.8536585365853658,0.8348623853211009,0.75,0.1651376146788991,0.5093980756321325,0.011414594374235646,0.3533333333333334
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,NB,No sampling,False,0.7155963302752294,1.0,0.0,0.28440366972477066,0.6554621848739496,0.7155963302752294,0.42537480420675766,-0.3078227173649793,0.52
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,RF,Under sampling,False,0.3669724770642202,0.4146341463414634,0.5853658536585366,0.6330275229357798,0.7017543859649122,0.3669724770642202,0.472588946072947,-0.03415103415103409,0.42666666666666664
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,IBk,Under sampling,False,0.3761467889908257,0.5365853658536586,0.4634146341463415,0.6238532110091743,0.6507936507936508,0.3761467889908257,0.4197807115685836,-0.11884634510193928,0.4
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,NB,Under sampling,False,0.9724770642201835,1.0,0.0,0.027522935779816515,0.7210884353741497,0.9724770642201835,0.4202282389796375,-0.038715769593956624,0.7066666666666667
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,RF,Over sampling,False,0.1926605504587156,0.21951219512195122,0.7804878048780488,0.8073394495412844,0.7,0.1926605504587156,0.5323338554486462,-0.016771488469601664,0.3533333333333334
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,IBk,Over sampling,False,0.1743119266055046,0.2682926829268293,0.7317073170731707,0.8256880733944955,0.6333333333333333,0.1743119266055046,0.4221302304766167,-0.058700209643605866,0.32666666666666666
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,NB,Over sampling,False,0.6146788990825688,0.8780487804878049,0.12195121951219512,0.3853211009174312,0.6504854368932039,0.6146788990825688,0.42067576639069143,-0.2518724588059064,0.48
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,RF,Smote,False,0.1651376146788991,0.21951219512195122,0.7804878048780488,0.8348623853211009,0.6666666666666666,0.1651376146788991,0.5283061087491608,-0.03348491112029765,0.33333333333333337
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,IBk,Smote,False,0.1834862385321101,0.1951219512195122,0.8048780487804879,0.8165137614678899,0.7142857142857143,0.1834862385321101,0.4941821436562989,-0.007199224698878626,0.3533333333333334
bookkeeper,9,1350,150,0.9,0.2548148148148148,0.7266666666666667,NB,Smote,False,0.7431192660550459,1.0,0.0,0.25688073394495414,0.6639344262295082,0.7431192660550459,0.4271649138509734,-0.2850757387633472,0.54
